# {"index_dir": "index/v4_pileval_gpt2", "dtype": "u16", "eos": 50256, "vocab": 50257, "version": 4, "lengths": [1, 2, 3, 4, 5, 6, 8, 10, 12, 16], "buckets": [{"name": "ultra_rare", "min": 1, "max": 1}, {"name": "rare", "min": 2, "max": 5}, {"name": "low", "min": 6, "max": 20}, {"name": "mid", "min": 21, "max": 100}, {"name": "high", "min": 101, "max": 1000}, {"name": "very_high", "min": 1001}], "per_bucket": 20, "max_docs": 2000, "max_doc_len": 4000}
high 1 241 39075
very_high 1 2068 11339
very_high 1 10757 3071
very_high 1 1525937 25
very_high 1 1090 11634
very_high 1 45800 328
very_high 1 3675 9536
very_high 1 19829 756
very_high 1 11640 3848
very_high 1 1664104 329
very_high 1 4170 6130
very_high 1 1330755 351
very_high 1 4990 8602
high 1 869 26372
very_high 1 8185 9478
very_high 1 25469 2534
very_high 1 16984 3426
very_high 1 17836 2177
very_high 1 2811 19809
high 1 348 34440
high 1 240 33859
very_high 1 3250 10404
very_high 1 2394 8536
very_high 1 13545838 198
high 1 234 37822
high 1 151 40680
high 1 941 16445
high 1 520 45355
high 1 350 31066
high 1 861 18029
high 1 594 38175
high 1 244 39894
high 1 762 22623
high 1 253 43083
high 1 817 47691
high 1 161 34100
high 1 884 24073
high 1 699 32433
high 1 306 9982
high 1 953 2249
ultra_rare 16 1 9536 756 3848 329 6130 351 8602 26372 9478 2534 3426 2177 19809 34440 33859 10404
ultra_rare 16 1 756 3848 329 6130 351 8602 26372 9478 2534 3426 2177 19809 34440 33859 10404 8536
ultra_rare 16 1 3848 329 6130 351 8602 26372 9478 2534 3426 2177 19809 34440 33859 10404 8536 198
ultra_rare 16 1 329 6130 351 8602 26372 9478 2534 3426 2177 19809 34440 33859 10404 8536 198 198
ultra_rare 16 1 6130 351 8602 26372 9478 2534 3426 2177 19809 34440 33859 10404 8536 198 198 9060
ultra_rare 16 1 351 8602 26372 9478 2534 3426 2177 19809 34440 33859 10404 8536 198 198 9060 6634
ultra_rare 16 1 8602 26372 9478 2534 3426 2177 19809 34440 33859 10404 8536 198 198 9060 6634 8428
ultra_rare 16 1 26372 9478 2534 3426 2177 19809 34440 33859 10404 8536 198 198 9060 6634 8428 2939
ultra_rare 16 1 9478 2534 3426 2177 19809 34440 33859 10404 8536 198 198 9060 6634 8428 2939 8305
ultra_rare 16 1 2534 3426 2177 19809 34440 33859 10404 8536 198 198 9060 6634 8428 2939 8305 366
ultra_rare 16 1 3426 2177 19809 34440 33859 10404 8536 198 198 9060 6634 8428 2939 8305 366 3844
ultra_rare 16 1 2177 19809 34440 33859 10404 8536 198 198 9060 6634 8428 2939 8305 366 3844 318
ultra_rare 16 1 19809 34440 33859 10404 8536 198 198 9060 6634 8428 2939 8305 366 3844 318 262
ultra_rare 16 1 34440 33859 10404 8536 198 198 9060 6634 8428 2939 8305 366 3844 318 262 640
high 5 897 2233 284 262 1109 326
high 5 171 13 198 198 5962 286
mid 6 25 13 198 198 7447 297 283
mid 6 64 13 198 198 20939 3875 11
rare 8 2 286 14712 87 520 540 14624 319 39336
rare 8 2 36984 19247 588 11403 11 27526 11 13124
rare 10 2 36984 19247 588 11403 11 27526 11 13124 47 11
mid 6 22 287 3871 351 1006 974 652
mid 6 50 2479 12 290 1714 12 31409
mid 6 29 290 284 257 14494 6287 11
rare 10 2 286 3993 3081 319 4088 11 4640 2163 11 290
rare 10 2 3993 3081 319 4088 11 4640 2163 11 290 3303
rare 10 2 3081 319 4088 11 4640 2163 11 290 3303 2854
rare 10 2 319 4088 11 4640 2163 11 290 3303 2854 287
rare 10 2 4088 11 4640 2163 11 290 3303 2854 287 3871
rare 10 2 11 4640 2163 11 290 3303 2854 287 3871 351
rare 10 2 4640 2163 11 290 3303 2854 287 3871 351 1006
rare 10 2 2163 11 290 3303 2854 287 3871 351 1006 974
rare 10 2 11 290 3303 2854 287 3871 351 1006 974 652
rare 10 2 290 3303 2854 287 3871 351 1006 974 652 25397
rare 10 2 3303 2854 287 3871 351 1006 974 652 25397 35325
rare 10 2 2854 287 3871 351 1006 974 652 25397 35325 290
rare 10 2 287 3871 351 1006 974 652 25397 35325 290 6856
rare 10 2 3871 351 1006 974 652 25397 35325 290 6856 35325
rare 12 2 286 3993 3081 319 4088 11 4640 2163 11 290 3303 2854
rare 12 2 3993 3081 319 4088 11 4640 2163 11 290 3303 2854 287
rare 12 2 3081 319 4088 11 4640 2163 11 290 3303 2854 287 3871
rare 12 2 319 4088 11 4640 2163 11 290 3303 2854 287 3871 351
rare 12 2 4088 11 4640 2163 11 290 3303 2854 287 3871 351 1006
rare 12 2 11 4640 2163 11 290 3303 2854 287 3871 351 1006 974
rare 12 2 4640 2163 11 290 3303 2854 287 3871 351 1006 974 652
rare 12 2 2163 11 290 3303 2854 287 3871 351 1006 974 652 25397
rare 12 2 11 290 3303 2854 287 3871 351 1006 974 652 25397 35325
rare 12 2 290 3303 2854 287 3871 351 1006 974 652 25397 35325 290
rare 12 2 3303 2854 287 3871 351 1006 974 652 25397 35325 290 6856
rare 12 2 2854 287 3871 351 1006 974 652 25397 35325 290 6856 35325
rare 16 2 286 3993 3081 319 4088 11 4640 2163 11 290 3303 2854 287 3871 351 1006
rare 16 2 3993 3081 319 4088 11 4640 2163 11 290 3303 2854 287 3871 351 1006 974
rare 16 2 3081 319 4088 11 4640 2163 11 290 3303 2854 287 3871 351 1006 974 652
rare 16 2 319 4088 11 4640 2163 11 290 3303 2854 287 3871 351 1006 974 652 25397
rare 16 2 4088 11 4640 2163 11 290 3303 2854 287 3871 351 1006 974 652 25397 35325
rare 16 2 11 4640 2163 11 290 3303 2854 287 3871 351 1006 974 652 25397 35325 290
rare 16 2 4640 2163 11 290 3303 2854 287 3871 351 1006 974 652 25397 35325 290 6856
rare 16 2 2163 11 290 3303 2854 287 3871 351 1006 974 652 25397 35325 290 6856 35325
mid 6 44 875 283 3524 2645 589 357
mid 6 33 3688 284 262 4295 12 4906
low 8 12 875 283 3524 2645 589 357 38 2885
very_high 5 4470 48 25 198 198 2437
very_high 5 3043 25 198 198 2437 284
very_high 5 1134 198 27 377 1398 2625
very_high 5 1108 12240 4528 29 198 220
very_high 5 1351 4528 29 198 3556 377
very_high 5 1349 29 198 3556 377 29
very_high 5 1383 198 3556 377 29 198
very_high 5 16598 90 198 220 220 220
very_high 5 3607 198 220 220 220 532
very_high 5 93661 26 198 220 220 220
very_high 5 2601 198 220 220 220 1222
very_high 5 1022862 198 220 220 220 220
very_high 5 19402626 220 220 220 220 220
very_high 5 11815 220 220 220 220 532
very_high 6 2976 48 25 198 198 2437 284
high 6 173 4528 29 198 220 1279 4528
high 6 104 29 198 220 1279 4528 6927
high 6 570 12240 4528 29 198 3556 377
very_high 6 1332 4528 29 198 3556 377 29
very_high 6 1328 29 198 3556 377 29 198
high 6 128 198 3556 377 29 198 198
high 6 257 198 220 220 220 532 43648
high 6 384 220 220 220 532 43648 12
high 6 184 220 532 43648 12 3524 12
high 6 198 12 82 2890 25 4865 12
high 6 198 82 2890 25 4865 12 3524
high 6 194 2890 25 4865 12 3524 26
high 6 113 25 4865 12 3524 26 198
high 6 251 26 198 220 220 220 532
high 6 212 220 220 220 532 5908 89
high 6 200 220 220 532 5908 89 12
high 6 116 198 220 220 220 3091 12
high 6 129 220 3091 12 82 2890 25
high 6 124 3091 12 82 2890 25 4865
very_high 6 3687 90 198 220 220 220 220
very_high 6 965415 198 220 220 220 220 220
very_high 6 10766 220 220 220 220 220 532
very_high 6 49410 26 198 220 220 220 220
very_high 6 11763 26 198 220 220 220 1782
very_high 6 20433 198 220 220 220 1782 198
very_high 6 47505 220 220 220 1782 198 220
very_high 6 2158 220 220 1782 198 220 1782
very_high 6 1191 220 1782 198 220 1782 198
very_high 6 4903 657 26 198 220 220 220
very_high 6 2621 26 198 220 1782 628 220
very_high 6 4648 18125 198 220 220 220 220
very_high 6 100904 628 220 220 220 220 220
very_high 6 3878 220 220 220 220 220 1222
very_high 6 17807442 220 220 220 220 220 220
very_high 6 59606 220 220 220 220 220 1782
very_high 6 37461 220 220 220 220 1782 198
low 8 7 3556 12626 12240 4528 29 198 220 1279
low 8 7 12626 12240 4528 29 198 220 1279 4528
mid 8 89 12240 4528 29 198 220 1279 4528 6927
low 8 7 4528 29 198 220 1279 4528 6927 12626
low 8 7 29 198 220 1279 4528 6927 12626 29
high 8 555 12240 4528 29 198 3556 377 29 198
mid 8 84 4528 29 198 3556 377 29 198 198
mid 8 46 198 220 220 220 532 43648 12 3524
mid 8 66 220 220 220 532 43648 12 3524 12
low 8 13 220 220 532 43648 12 3524 12 82
mid 8 28 220 532 43648 12 3524 12 82 2890
mid 8 30 532 43648 12 3524 12 82 2890 25
mid 8 26 43648 12 3524 12 82 2890 25 4865
mid 8 57 12 3524 12 82 2890 25 4865 12
mid 8 73 3524 12 82 2890 25 4865 12 3524
high 8 194 12 82 2890 25 4865 12 3524 26
high 8 109 82 2890 25 4865 12 3524 26 198
mid 8 88 2890 25 4865 12 3524 26 198 220
mid 8 47 25 4865 12 3524 26 198 220 220
mid 8 47 4865 12 3524 26 198 220 220 220
low 8 6 12 3524 26 198 220 220 220 532
mid 8 51 26 198 220 220 220 532 5908 89
mid 8 89 198 220 220 220 532 5908 89 12
mid 8 44 220 220 220 532 5908 89 12 3524
mid 8 44 220 220 532 5908 89 12 3524 12
mid 8 33 220 532 5908 89 12 3524 12 82
mid 8 33 532 5908 89 12 3524 12 82 2890
mid 8 40 5908 89 12 3524 12 82 2890 25
low 8 7 12 3524 26 198 220 220 220 3091
low 8 7 3524 26 198 220 220 220 3091 12
low 8 18 26 198 220 220 220 3091 12 82
high 8 115 220 3091 12 82 2890 25 4865 12
high 8 124 3091 12 82 2890 25 4865 12 3524
high 8 105 220 220 220 220 220 532 43648 12
low 8 19 220 220 220 220 532 43648 12 3524
high 8 103 220 220 220 220 532 5908 89 12
low 8 6 26 198 220 220 220 220 220 3091
low 8 12 198 220 220 220 220 220 3091 12
low 8 14 220 220 220 220 220 3091 12 82
low 8 17 220 220 220 220 3091 12 82 2890
very_high 8 3374 26 198 220 220 220 1782 198 220
very_high 8 2058 198 220 220 220 1782 198 220 1782
very_high 8 1172 220 220 220 1782 198 220 1782 198
high 8 372 220 220 1782 198 220 1782 198 220
low 8 7 90 198 220 220 220 10330 25 657
high 8 106 220 220 220 10330 25 657 26 198
low 8 6 25 657 26 198 220 220 220 1351
low 8 6 657 26 198 220 220 220 1351 12
low 8 15 26 198 220 220 220 1351 12 7635
high 8 183 198 220 220 220 3359 25 2512 26
high 8 187 220 220 220 3359 25 2512 26 198
high 8 170 220 220 3359 25 2512 26 198 220
high 8 160 220 3359 25 2512 26 198 220 220
high 8 160 3359 25 2512 26 198 220 220 220
high 8 161 198 220 220 220 2292 25 4112 26
high 8 190 220 220 220 2292 25 4112 26 198
high 8 191 220 220 2292 25 4112 26 198 220
high 8 190 220 2292 25 4112 26 198 220 220
high 8 187 2292 25 4112 26 198 220 220 220
high 8 111 198 220 220 220 4865 12 42172 25
very_high 8 2514 657 26 198 220 220 220 220 220
very_high 8 3094 90 198 220 220 220 220 220 220
very_high 8 814427 198 220 220 220 220 220 220 220
very_high 8 40540 26 198 220 220 220 220 220 220
very_high 8 1511 26 198 220 220 220 220 220 1782
very_high 8 4157 198 220 220 220 220 220 1782 198
very_high 8 35810 220 220 220 220 220 1782 198 220
very_high 8 35827 220 220 220 220 1782 198 220 220
very_high 8 43931 220 220 220 1782 198 220 220 220
very_high 8 28120 220 220 1782 198 220 220 220 220
very_high 8 27182 220 1782 198 220 220 220 220 220
very_high 8 3059 220 220 220 220 220 220 220 1222
very_high 8 30208 8 1391 198 220 220 220 220 220
very_high 8 94038 1391 198 220 220 220 220 220 220
very_high 8 15073180 220 220 220 220 220 220 220 220
very_high 8 38980 1776 198 220 220 220 220 220 220
very_high 8 4065 18125 198 220 220 220 220 220 220
low 10 7 3556 12626 12240 4528 29 198 220 1279 4528 6927
low 10 7 12626 12240 4528 29 198 220 1279 4528 6927 12626
low 10 7 12240 4528 29 198 220 1279 4528 6927 12626 29
low 10 12 198 220 220 220 532 43648 12 3524 12 82
low 10 13 220 220 220 532 43648 12 3524 12 82 2890
low 10 13 220 220 532 43648 12 3524 12 82 2890 25
mid 10 24 220 532 43648 12 3524 12 82 2890 25 4865
mid 10 26 532 43648 12 3524 12 82 2890 25 4865 12
mid 10 26 43648 12 3524 12 82 2890 25 4865 12 3524
mid 10 57 12 3524 12 82 2890 25 4865 12 3524 26
mid 10 41 3524 12 82 2890 25 4865 12 3524 26 198
mid 10 88 12 82 2890 25 4865 12 3524 26 198 220
mid 10 46 82 2890 25 4865 12 3524 26 198 220 220
mid 10 46 2890 25 4865 12 3524 26 198 220 220 220
low 10 9 26 198 220 220 220 532 5908 89 12 3524
low 10 20 198 220 220 220 532 5908 89 12 3524 12
low 10 18 220 220 220 532 5908 89 12 3524 12 82
low 10 18 220 220 532 5908 89 12 3524 12 82 2890
mid 10 33 220 532 5908 89 12 3524 12 82 2890 25
mid 10 28 532 5908 89 12 3524 12 82 2890 25 4865
mid 10 28 5908 89 12 3524 12 82 2890 25 4865 12
mid 10 28 89 12 3524 12 82 2890 25 4865 12 3524
low 10 6 25 4865 12 3524 26 198 220 220 220 3091
low 10 6 4865 12 3524 26 198 220 220 220 3091 12
low 10 7 12 3524 26 198 220 220 220 3091 12 82
low 10 7 3524 26 198 220 220 220 3091 12 82 2890
low 10 18 26 198 220 220 220 3091 12 82 2890 25
mid 10 35 198 220 220 220 3091 12 82 2890 25 4865
mid 10 51 220 220 220 3091 12 82 2890 25 4865 12
mid 10 51 220 220 3091 12 82 2890 25 4865 12 3524
high 10 113 220 3091 12 82 2890 25 4865 12 3524 26
mid 10 67 3091 12 82 2890 25 4865 12 3524 26 198
low 10 17 220 220 220 220 220 532 43648 12 3524 12
mid 10 24 25 4865 12 3524 26 198 220 220 220 220
low 10 20 4865 12 3524 26 198 220 220 220 220 220
mid 10 21 26 198 220 220 220 220 220 532 5908 89
low 10 19 220 220 220 220 220 532 5908 89 12 3524
mid 10 23 220 220 220 220 532 5908 89 12 3524 12
low 10 14 220 220 220 220 220 3091 12 82 2890 25
low 10 16 220 220 220 220 3091 12 82 2890 25 4865
high 10 296 26 198 220 220 220 1782 198 220 1782 198
high 10 345 198 220 220 220 1782 198 220 1782 198 220
mid 10 62 198 220 220 220 10330 25 657 26 198 220
high 10 131 198 220 220 220 3359 25 2512 26 198 220
high 10 160 220 220 220 3359 25 2512 26 198 220 220
high 10 160 220 220 3359 25 2512 26 198 220 220 220
high 10 119 198 220 220 220 2292 25 4112 26 198 220
high 10 185 220 220 220 2292 25 4112 26 198 220 220
high 10 185 220 220 2292 25 4112 26 198 220 220 220
high 10 124 220 220 220 2420 12 31494 25 3641 26 198
high 10 103 220 220 2420 12 31494 25 3641 26 198 220
high 10 970 26 198 220 220 220 220 220 1782 198 220
very_high 10 3952 198 220 220 220 220 220 1782 198 220 220
very_high 10 35492 220 220 220 220 220 1782 198 220 220 220
very_high 10 27287 220 220 220 220 1782 198 220 220 220 220
very_high 10 27128 220 220 220 1782 198 220 220 220 220 220
very_high 10 26279 8 1391 198 220 220 220 220 220 220 220
very_high 10 55509 1391 198 220 220 220 220 220 220 220 220
very_high 10 506580 198 220 220 220 220 220 220 220 220 220
high 10 472 17 1776 198 220 220 220 220 220 220 220
very_high 10 20067 1776 198 220 220 220 220 220 220 220 220
very_high 10 1955 220 220 220 220 220 220 220 220 220 1222
very_high 10 13200488 220 220 220 220 220 220 220 220 220 220
very_high 10 1964 18125 198 220 220 220 220 220 220 220 220
very_high 10 26613 220 220 220 220 220 220 220 220 220 1782
very_high 10 18580 220 220 220 220 220 220 220 220 1782 198
very_high 10 31601 220 220 220 220 220 220 220 1782 198 220
very_high 10 31706 220 220 220 220 220 220 1782 198 220 220
very_high 10 24181 220 220 1782 198 220 220 220 220 220 220
very_high 10 24055 220 1782 198 220 220 220 220 220 220 220
very_high 10 3884 1782 198 220 220 220 220 220 220 220 1782
very_high 10 13741 198 220 220 220 220 220 220 220 1782 198
high 10 886 220 220 1782 198 220 220 220 220 220 1782
high 10 661 220 1782 198 220 220 220 220 220 1782 198
high 10 645 1782 198 220 220 220 220 220 1782 198 220
very_high 10 6394 220 220 220 220 1782 198 220 220 220 1782
high 10 382 220 1782 198 220 220 220 1782 198 220 1782
high 10 231 1782 198 220 220 220 1782 198 220 1782 198
low 12 7 3556 12626 12240 4528 29 198 220 1279 4528 6927 12626 29
low 12 12 198 220 220 220 532 43648 12 3524 12 82 2890 25
low 12 12 220 220 220 532 43648 12 3524 12 82 2890 25 4865
low 12 12 220 220 532 43648 12 3524 12 82 2890 25 4865 12
mid 12 24 220 532 43648 12 3524 12 82 2890 25 4865 12 3524
mid 12 26 532 43648 12 3524 12 82 2890 25 4865 12 3524 26
low 12 16 43648 12 3524 12 82 2890 25 4865 12 3524 26 198
mid 12 40 12 3524 12 82 2890 25 4865 12 3524 26 198 220
mid 12 30 3524 12 82 2890 25 4865 12 3524 26 198 220 220
mid 12 46 12 82 2890 25 4865 12 3524 26 198 220 220 220
rare 12 5 82 2890 25 4865 12 3524 26 198 220 220 220 532
rare 12 2 2890 25 4865 12 3524 26 198 220 220 220 532 5908
rare 12 2 25 4865 12 3524 26 198 220 220 220 532 5908 89
rare 12 2 4865 12 3524 26 198 220 220 220 532 5908 89 12
rare 12 3 12 3524 26 198 220 220 220 532 5908 89 12 3524
rare 12 3 3524 26 198 220 220 220 532 5908 89 12 3524 12
low 12 8 198 220 220 220 532 5908 89 12 3524 12 82 2890
low 12 18 220 220 220 532 5908 89 12 3524 12 82 2890 25
low 12 17 220 220 532 5908 89 12 3524 12 82 2890 25 4865
mid 12 28 220 532 5908 89 12 3524 12 82 2890 25 4865 12
mid 12 28 532 5908 89 12 3524 12 82 2890 25 4865 12 3524
mid 12 28 5908 89 12 3524 12 82 2890 25 4865 12 3524 26
mid 12 21 89 12 3524 12 82 2890 25 4865 12 3524 26 198
low 12 6 82 2890 25 4865 12 3524 26 198 220 220 220 3091
low 12 6 2890 25 4865 12 3524 26 198 220 220 220 3091 12
low 12 6 25 4865 12 3524 26 198 220 220 220 3091 12 82
low 12 6 4865 12 3524 26 198 220 220 220 3091 12 82 2890
low 12 7 12 3524 26 198 220 220 220 3091 12 82 2890 25
low 12 6 3524 26 198 220 220 220 3091 12 82 2890 25 4865
low 12 14 26 198 220 220 220 3091 12 82 2890 25 4865 12
mid 12 35 198 220 220 220 3091 12 82 2890 25 4865 12 3524
mid 12 50 220 220 220 3091 12 82 2890 25 4865 12 3524 26
mid 12 34 220 220 3091 12 82 2890 25 4865 12 3524 26 198
mid 12 47 220 3091 12 82 2890 25 4865 12 3524 26 198 220
low 12 16 3091 12 82 2890 25 4865 12 3524 26 198 220 220
mid 12 23 82 2890 25 4865 12 3524 26 198 220 220 220 220
low 12 19 2890 25 4865 12 3524 26 198 220 220 220 220 220
low 12 6 220 220 220 220 220 532 5908 89 12 3524 12 82
low 12 10 220 220 220 220 532 5908 89 12 3524 12 82 2890
low 12 13 220 220 220 220 220 3091 12 82 2890 25 4865 12
mid 12 54 198 220 220 220 10330 25 657 26 198 220 220 220
mid 12 38 220 220 220 10330 25 657 26 198 220 220 220 24511
mid 12 38 220 220 10330 25 657 26 198 220 220 220 24511 25
mid 12 36 220 10330 25 657 26 198 220 220 220 24511 25 657
mid 12 34 10330 25 657 26 198 220 220 220 24511 25 657 26
mid 12 35 25 657 26 198 220 220 220 24511 25 657 26 198
high 12 121 198 220 220 220 3359 25 2512 26 198 220 220 220
high 12 117 198 220 220 220 2292 25 4112 26 198 220 220 220
high 12 904 26 198 220 220 220 220 220 1782 198 220 220 220
very_high 12 1554 198 220 220 220 220 220 1782 198 220 220 220 220
very_high 12 27029 220 220 220 220 220 1782 198 220 220 220 220 220
very_high 12 15594 8 1391 198 220 220 220 220 220 220 220 220 220
high 12 271 17 1776 198 220 220 220 220 220 220 220 220 220
very_high 12 50592 1391 198 220 220 220 220 220 220 220 220 220 220
very_high 12 461781 198 220 220 220 220 220 220 220 220 220 220 220
very_high 12 1113 198 220 220 220 220 220 220 220 220 220 1782 198
very_high 12 17878 220 220 220 220 220 220 220 220 220 1782 198 220
very_high 12 18137 220 220 220 220 220 220 220 220 1782 198 220 220
very_high 12 31537 220 220 220 220 220 220 220 1782 198 220 220 220
very_high 12 25630 220 220 220 220 220 220 1782 198 220 220 220 220
very_high 12 24115 220 220 220 220 1782 198 220 220 220 220 220 220
very_high 12 24034 220 220 220 1782 198 220 220 220 220 220 220 220
very_high 12 3709 220 220 1782 198 220 220 220 220 220 220 220 1782
very_high 12 2253 220 1782 198 220 220 220 220 220 220 220 1782 198
very_high 12 2219 1782 198 220 220 220 220 220 220 220 1782 198 220
very_high 12 13175 198 220 220 220 220 220 220 220 1782 198 220 220
high 12 878 220 220 220 220 1782 198 220 220 220 220 220 1782
high 12 657 220 220 220 1782 198 220 220 220 220 220 1782 198
high 12 634 220 220 1782 198 220 220 220 220 220 1782 198 220
high 12 630 220 1782 198 220 220 220 220 220 1782 198 220 220
high 12 609 1782 198 220 220 220 220 220 1782 198 220 220 220
very_high 12 1463 198 220 220 220 220 220 1782 198 220 220 220 1782
very_high 12 3442 220 220 220 220 220 1782 198 220 220 220 1782 198
very_high 12 1661 220 220 220 220 1782 198 220 220 220 1782 198 220
high 12 382 220 220 220 1782 198 220 220 220 1782 198 220 1782
high 12 229 220 220 1782 198 220 220 220 1782 198 220 1782 198
low 16 11 198 220 220 220 532 43648 12 3524 12 82 2890 25 4865 12 3524 26
low 16 11 220 220 220 532 43648 12 3524 12 82 2890 25 4865 12 3524 26 198
low 16 11 220 220 532 43648 12 3524 12 82 2890 25 4865 12 3524 26 198 220
low 16 15 220 532 43648 12 3524 12 82 2890 25 4865 12 3524 26 198 220 220
low 16 15 532 43648 12 3524 12 82 2890 25 4865 12 3524 26 198 220 220 220
rare 16 2 12 82 2890 25 4865 12 3524 26 198 220 220 220 532 5908 89 12
rare 16 2 82 2890 25 4865 12 3524 26 198 220 220 220 532 5908 89 12 3524
rare 16 2 2890 25 4865 12 3524 26 198 220 220 220 532 5908 89 12 3524 12
rare 16 2 25 4865 12 3524 26 198 220 220 220 532 5908 89 12 3524 12 82
rare 16 2 4865 12 3524 26 198 220 220 220 532 5908 89 12 3524 12 82 2890
rare 16 3 12 3524 26 198 220 220 220 532 5908 89 12 3524 12 82 2890 25
rare 16 2 3524 26 198 220 220 220 532 5908 89 12 3524 12 82 2890 25 4865
rare 16 3 26 198 220 220 220 532 5908 89 12 3524 12 82 2890 25 4865 12
low 16 7 198 220 220 220 532 5908 89 12 3524 12 82 2890 25 4865 12 3524
low 16 17 220 220 220 532 5908 89 12 3524 12 82 2890 25 4865 12 3524 26
low 16 15 220 220 532 5908 89 12 3524 12 82 2890 25 4865 12 3524 26 198
mid 16 21 220 532 5908 89 12 3524 12 82 2890 25 4865 12 3524 26 198 220
low 16 15 532 5908 89 12 3524 12 82 2890 25 4865 12 3524 26 198 220 220
low 16 15 5908 89 12 3524 12 82 2890 25 4865 12 3524 26 198 220 220 220
rare 16 2 89 12 3524 12 82 2890 25 4865 12 3524 26 198 220 220 220 3091
low 16 6 12 3524 12 82 2890 25 4865 12 3524 26 198 220 220 220 3091 12
low 16 6 3524 12 82 2890 25 4865 12 3524 26 198 220 220 220 3091 12 82
low 16 6 12 82 2890 25 4865 12 3524 26 198 220 220 220 3091 12 82 2890
low 16 6 82 2890 25 4865 12 3524 26 198 220 220 220 3091 12 82 2890 25
low 16 6 2890 25 4865 12 3524 26 198 220 220 220 3091 12 82 2890 25 4865
low 16 6 25 4865 12 3524 26 198 220 220 220 3091 12 82 2890 25 4865 12
low 16 6 4865 12 3524 26 198 220 220 220 3091 12 82 2890 25 4865 12 3524
low 16 6 12 3524 26 198 220 220 220 3091 12 82 2890 25 4865 12 3524 26
rare 16 5 3524 26 198 220 220 220 3091 12 82 2890 25 4865 12 3524 26 198
low 16 10 26 198 220 220 220 3091 12 82 2890 25 4865 12 3524 26 198 220
low 16 12 198 220 220 220 3091 12 82 2890 25 4865 12 3524 26 198 220 220
rare 16 2 26 198 220 220 220 220 220 3091 12 82 2890 25 4865 12 3524 26
rare 16 2 198 220 220 220 220 220 3091 12 82 2890 25 4865 12 3524 26 198
mid 16 32 198 220 220 220 10330 25 657 26 198 220 220 220 24511 25 657 26
mid 16 33 220 220 220 10330 25 657 26 198 220 220 220 24511 25 657 26 198
mid 16 21 220 220 10330 25 657 26 198 220 220 220 24511 25 657 26 198 220
mid 16 23 198 220 220 220 3359 25 2512 26 198 220 220 220 2292 25 4112 26
mid 16 23 220 220 220 3359 25 2512 26 198 220 220 220 2292 25 4112 26 198
mid 16 23 220 220 3359 25 2512 26 198 220 220 220 2292 25 4112 26 198 220
mid 16 23 220 3359 25 2512 26 198 220 220 220 2292 25 4112 26 198 220 220
mid 16 23 3359 25 2512 26 198 220 220 220 2292 25 4112 26 198 220 220 220
mid 16 21 198 220 220 220 220 220 2292 25 4112 26 198 220 220 220 220 220
mid 16 24 220 220 220 220 220 220 220 3359 25 2512 26 198 220 220 220 220
mid 16 24 220 220 220 220 220 220 3359 25 2512 26 198 220 220 220 220 220
mid 16 21 220 220 220 220 220 3359 25 2512 26 198 220 220 220 220 220 220
mid 16 21 220 220 220 220 3359 25 2512 26 198 220 220 220 220 220 220 220
mid 16 22 198 220 220 220 220 220 220 220 2420 12 31494 25 3641 26 198 220
mid 16 29 220 220 220 220 220 220 220 2420 12 31494 25 3641 26 198 220 220
mid 16 29 220 220 220 220 220 220 2420 12 31494 25 3641 26 198 220 220 220
mid 16 32 220 220 220 220 220 2420 12 31494 25 3641 26 198 220 220 220 220
mid 16 32 220 220 220 220 2420 12 31494 25 3641 26 198 220 220 220 220 220
mid 16 21 220 220 220 220 220 220 220 30343 25 7104 26 198 220 220 220 220
very_high 16 1085 198 220 220 220 220 220 220 220 220 220 1782 198 220 220 220 220
very_high 16 17755 220 220 220 220 220 220 220 220 220 1782 198 220 220 220 220 220
very_high 16 17847 220 220 220 220 220 220 220 220 1782 198 220 220 220 220 220 220
very_high 16 23952 220 220 220 220 220 220 220 1782 198 220 220 220 220 220 220 220
very_high 16 3706 220 220 220 220 220 220 1782 198 220 220 220 220 220 220 220 1782
very_high 16 2248 220 220 220 220 220 1782 198 220 220 220 220 220 220 220 1782 198
very_high 16 2137 220 220 220 220 1782 198 220 220 220 220 220 220 220 1782 198 220
very_high 16 2138 220 220 220 1782 198 220 220 220 220 220 220 220 1782 198 220 220
very_high 16 2137 220 220 1782 198 220 220 220 220 220 220 220 1782 198 220 220 220
very_high 16 1149 220 1782 198 220 220 220 220 220 220 220 1782 198 220 220 220 220
very_high 16 1187 1782 198 220 220 220 220 220 220 220 1782 198 220 220 220 220 220
high 16 794 198 220 220 220 220 220 220 220 1782 198 220 220 220 220 220 1782
high 16 651 220 220 220 220 220 220 220 1782 198 220 220 220 220 220 1782 198
high 16 632 220 220 220 220 220 220 1782 198 220 220 220 220 220 1782 198 220
high 16 626 220 220 220 220 220 1782 198 220 220 220 220 220 1782 198 220 220
high 16 600 220 220 220 220 1782 198 220 220 220 220 220 1782 198 220 220 220
high 16 291 220 220 220 1782 198 220 220 220 220 220 1782 198 220 220 220 1782
high 16 209 220 220 1782 198 220 220 220 220 220 1782 198 220 220 220 1782 198
high 16 199 220 1782 198 220 220 220 220 220 1782 198 220 220 220 1782 198 220
high 16 218 198 220 220 220 220 220 1782 198 220 220 220 1782 198 220 1782 198
mid 1 62 48972
mid 1 75 30265
high 10 290 318 1479 3788 25 345 460 17678 4163 340 290
